run_id,day,flower_id,flower_id_truth,drone_id,x,y,z,pollinated_at,sweep_duration_s,status
stage15_20260524_203522,5,29,73,1,6.2,3.978,1.55,1779626214.7011302,4.0,POLLINATED
stage15_20260524_203522,5,32,42,0,1.65,12.005,2.2,1779626220.206639,4.0,POLLINATED
stage15_20260524_203522,5,23,77,1,10.75,1.618,1.55,1779626253.601102,4.0,POLLINATED
stage15_20260524_203522,5,36,66,0,2.95,11.963,1.85,1779626259.7065206,4.0,POLLINATED
stage15_20260524_203522,5,27,84,1,10.1,3.578,2.55,1779626281.501175,4.0,POLLINATED
stage15_20260524_203522,5,52,10,0,4.25,12.784,2.3,1779626287.706694,4.0,POLLINATED
stage15_20260524_203522,5,58,21,0,4.9,12.998,1.85,1779626315.806612,4.0,POLLINATED
stage15_20260524_203522,5,48,20,1,11.4,8.626,2.05,1779626320.7013316,4.0,POLLINATED
stage15_20260524_203522,5,65,44,0,5.55,13.375,1.55,1779626344.1067529,4.0,POLLINATED
stage15_20260524_203522,5,71,79,1,13.35,10.577,2.55,1779626352.8013127,4.0,POLLINATED
stage15_20260524_203522,5,54,26,0,6.85,11.991,1.55,1779626376.3565578,4.0,POLLINATED
stage15_20260524_203522,5,49,13,1,10.1,11.171,2.25,1779626391.4512362,4.0,POLLINATED
stage15_20260524_203522,5,62,83,0,7.5,13.603,1.55,1779626407.706875,4.0,POLLINATED
stage15_20260524_203522,5,40,4,1,6.2,7.206,2.25,1779626430.1512005,4.0,POLLINATED
stage15_20260524_203522,5,55,71,0,9.45,12.374,2.55,1779626436.6066506,4.0,POLLINATED
stage15_20260524_203522,5,41,3,1,5.55,6.217,2.05,1779626460.2511175,4.0,POLLINATED
stage15_20260524_203522,5,63,23,0,10.75,13.186,2.55,1779626466.4565036,4.0,POLLINATED
stage15_20260524_203522,5,26,1,1,3.6,9.159,1.55,1779626498.251022,4.0,POLLINATED
stage15_20260524_203522,5,68,54,0,12.7,14.005,2.05,1779626500.2066145,4.0,POLLINATED
stage15_20260524_203522,5,19,17,1,2.95,7.224,1.85,1779626528.851369,4.0,POLLINATED
stage15_20260524_203522,5,51,86,0,10.1,11.631,2.55,1779626536.05661,4.0,POLLINATED
stage15_20260524_203522,5,15,27,1,2.95,6.528,2.4,1779626549.5011675,4.0,POLLINATED
